# N = 3
# b = 0.5 0 1 2
 -1.0000000000000000e+00 -5.0000000000000000e-01
 -9.7999999999999998e-01 -2.2873599999999961e-01
 -9.5999999999999996e-01  2.5312000000000001e-02
 -9.3999999999999995e-01  2.6252800000000054e-01
 -9.2000000000000004e-01  4.8329600000000017e-01
 -9.0000000000000002e-01  6.8799999999999972e-01
 -8.8000000000000000e-01  8.7702400000000047e-01
 -8.5999999999999999e-01  1.0507520000000004e+00
 -8.3999999999999997e-01  1.2095680000000006e+00
 -8.2000000000000006e-01  1.3538559999999995e+00
 -8.0000000000000004e-01  1.4840000000000000e+00
 -7.8000000000000003e-01  1.6003839999999996e+00
 -7.6000000000000001e-01  1.7033920000000002e+00
 -7.3999999999999999e-01  1.7934079999999997e+00
 -7.1999999999999997e-01  1.8708160000000005e+00
 -6.9999999999999996e-01  1.9359999999999999e+00
 -6.7999999999999994e-01  1.9893440000000004e+00
 -6.5999999999999992e-01  2.0312320000000001e+00
 -6.4000000000000001e-01  2.0620479999999994e+00
 -6.2000000000000000e-01  2.0821759999999996e+00
 -5.9999999999999998e-01  2.0919999999999996e+00
 -5.8000000000000007e-01  2.0919040000000000e+00
 -5.6000000000000005e-01  2.0822720000000001e+00
 -5.4000000000000004e-01  2.0634880000000000e+00
 -5.2000000000000002e-01  2.0359360000000000e+00
 -5.0000000000000000e-01  2.0000000000000000e+00
 -4.7999999999999998e-01  1.9560640000000000e+00
 -4.5999999999999996e-01  1.9045120000000000e+00
 -4.3999999999999995e-01  1.8457279999999998e+00
 -4.2000000000000004e-01  1.7800960000000003e+00
 -4.0000000000000002e-01  1.7080000000000004e+00
 -3.8000000000000000e-01  1.6298240000000002e+00
 -3.5999999999999999e-01  1.5459520000000002e+00
 -3.3999999999999997e-01  1.4567679999999998e+00
 -3.1999999999999995e-01  1.3626559999999996e+00
 -2.9999999999999993e-01  1.2639999999999998e+00
 -2.8000000000000003e-01  1.1611840000000002e+00
 -2.6000000000000001e-01  1.0545920000000000e+00
 -2.3999999999999999e-01  9.4460799999999989e-01
 -2.1999999999999997e-01  8.3161599999999991e-01
 -1.9999999999999996e-01  7.1599999999999964e-01
 -1.7999999999999994e-01  5.9814399999999956e-01
 -1.6000000000000003e-01  4.7843200000000019e-01
 -1.4000000000000001e-01  3.5724800000000012e-01
 -1.2000000000000000e-01  2.3497600000000007e-01
 -9.9999999999999978e-02  1.1199999999999988e-01
 -7.9999999999999960e-02 -1.1296000000000195e-02
 -5.9999999999999942e-02 -1.3452800000000037e-01
 -4.0000000000000036e-02 -2.5731199999999982e-01
 -2.0000000000000018e-02 -3.7926399999999988e-01
  0.0000000000000000e+00 -5.0000000000000000e-01
  2.0000000000000018e-02 -6.1913600000000013e-01
  4.0000000000000036e-02 -7.3628800000000028e-01
  6.0000000000000053e-02 -8.5107200000000027e-01
  8.0000000000000071e-02 -9.6310400000000040e-01
  1.0000000000000009e-01 -1.0720000000000005e+00
  1.2000000000000011e-01 -1.1773760000000006e+00
  1.4000000000000012e-01 -1.2788480000000004e+00
  1.5999999999999992e-01 -1.3760319999999997e+00
  1.7999999999999994e-01 -1.4685439999999996e+00
  1.9999999999999996e-01 -1.5559999999999996e+00
  2.1999999999999997e-01 -1.6380159999999999e+00
  2.3999999999999999e-01 -1.7142080000000000e+00
  2.6000000000000001e-01 -1.7841920000000000e+00
  2.8000000000000003e-01 -1.8475840000000001e+00
  3.0000000000000004e-01 -1.9039999999999999e+00
  3.2000000000000006e-01 -1.9530560000000001e+00
  3.4000000000000008e-01 -1.9943680000000001e+00
  3.6000000000000010e-01 -2.0275520000000000e+00
  3.8000000000000012e-01 -2.0522240000000003e+00
  4.0000000000000013e-01 -2.0680000000000001e+00
  4.1999999999999993e-01 -2.0744959999999999e+00
  4.3999999999999995e-01 -2.0713279999999998e+00
  4.5999999999999996e-01 -2.0581119999999999e+00
  4.7999999999999998e-01 -2.0344639999999998e+00
  5.0000000000000000e-01 -2.0000000000000000e+00
  5.2000000000000002e-01 -1.9543360000000001e+00
  5.4000000000000004e-01 -1.8970880000000001e+00
  5.6000000000000005e-01 -1.8278719999999997e+00
  5.8000000000000007e-01 -1.7463039999999999e+00
  6.0000000000000009e-01 -1.6519999999999997e+00
  6.2000000000000011e-01 -1.5445759999999993e+00
  6.4000000000000012e-01 -1.4236479999999991e+00
  6.6000000000000014e-01 -1.2888319999999989e+00
  6.7999999999999994e-01 -1.1397440000000008e+00
  6.9999999999999996e-01 -9.7600000000000009e-01
  7.1999999999999997e-01 -7.9721600000000059e-01
  7.3999999999999999e-01 -6.0300799999999977e-01
  7.6000000000000001e-01 -3.9299200000000023e-01
  7.8000000000000003e-01 -1.6678399999999938e-01
  8.0000000000000004e-01  7.6000000000000512e-02
  8.2000000000000006e-01  3.3574400000000093e-01
  8.4000000000000008e-01  6.1283200000000027e-01
  8.6000000000000010e-01  9.0764800000000156e-01
  8.8000000000000012e-01  1.2205760000000017e+00
  9.0000000000000013e-01  1.5520000000000027e+00
  9.1999999999999993e-01  1.9023039999999987e+00
  9.3999999999999995e-01  2.2718719999999992e+00
  9.5999999999999996e-01  2.6610879999999999e+00
  9.7999999999999998e-01  3.0703359999999993e+00
  1.0000000000000000e+00  3.5000000000000000e+00
