  0.0000000000000000e+00  1.0000000000000000e+00
  2.0000000000000000e-02  1.0202013400267558e+00
  4.0000000000000001e-02  1.0408107741923880e+00
  5.9999999999999998e-02  1.0618365465453596e+00
  8.0000000000000002e-02  1.0832870676749589e+00
  1.0000000000000001e-01  1.1051709180756473e+00
  1.2000000000000000e-01  1.1274968515793760e+00
  1.4000000000000001e-01  1.1502737988572274e+00
  1.6000000000000000e-01  1.1735108709918098e+00
  1.7999999999999999e-01  1.1972173631218102e+00
  2.0000000000000001e-01  1.2214027581601696e+00
  2.2000000000000000e-01  1.2460767305873812e+00
  2.3999999999999999e-01  1.2712491503214047e+00
  2.6000000000000001e-01  1.2969300866657720e+00
  2.8000000000000003e-01  1.3231298123374369e+00
  2.9999999999999999e-01  1.3498588075760030e+00
  3.2000000000000001e-01  1.3771277643359570e+00
  3.4000000000000002e-01  1.4049475905635935e+00
  3.5999999999999999e-01  1.4333294145603406e+00
  3.8000000000000000e-01  1.4622845894342245e+00
  4.0000000000000002e-01  1.4918246976412701e+00
  4.1999999999999998e-01  1.5219615556186337e+00
  4.4000000000000000e-01  1.5527072185113364e+00
  4.6000000000000002e-01  1.5840739849944816e+00
  4.7999999999999998e-01  1.6160744021928932e+00
  5.0000000000000000e-01  1.6487212707001002e+00
  5.2000000000000002e-01  1.6820276496988589e+00
  5.4000000000000004e-01  1.7160068621848297e+00
  5.6000000000000005e-01  1.7506725002960717e+00
  5.7999999999999996e-01  1.7860384307500443e+00
  5.9999999999999998e-01  1.8221188003904780e+00
  6.2000000000000000e-01  1.8589280418463110e+00
  6.4000000000000001e-01  1.8964808793049195e+00
  6.6000000000000003e-01  1.9347923344019993e+00
  6.8000000000000005e-01  1.9738777322304146e+00
  7.0000000000000007e-01  2.0137527074704424e+00
  7.1999999999999997e-01  2.0544332106438530e+00
  7.3999999999999999e-01  2.0959355144943297e+00
  7.6000000000000001e-01  2.1382762204967833e+00
  7.8000000000000003e-01  2.1814722654981651e+00
  8.0000000000000004e-01  2.2255409284924301e+00
  8.2000000000000006e-01  2.2704998375323679e+00
  8.3999999999999997e-01  2.3163669767810524e+00
  8.5999999999999999e-01  2.3631606937057557e+00
  8.8000000000000000e-01  2.4108997064171698e+00
  9.0000000000000002e-01  2.4596031111569086e+00
  9.2000000000000004e-01  2.5092903899362557e+00
  9.4000000000000006e-01  2.5599814183292295e+00
  9.5999999999999996e-01  2.6116964734230739e+00
  9.7999999999999998e-01  2.6644562419293729e+00
  1.0000000000000000e+00  2.7182818284589998e+00
